anime_id,name,genre,type,episodes,rating,members,profile
2904,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25.0,8.98,572888,"Action, Drama, Mecha, Military, Sci-Fi, Super Power TV Code Geass: Hangyaku no Lelouch R2"
28891,Haikyuu!! Second Season,"Comedy, Drama, School, Shounen, Sports",TV,25.0,8.93,179342,"Comedy, Drama, School, Shounen, Sports TV Haikyuu!! Second Season"
199,Sen to Chihiro no Kamikakushi,"Adventure, Drama, Supernatural",Movie,1.0,8.93,466254,"Adventure, Drama, Supernatural Movie Sen to Chihiro no Kamikakushi"
23273,Shigatsu wa Kimi no Uso,"Drama, Music, Romance, School, Shounen",TV,22.0,8.92,416397,"Drama, Music, Romance, School, Shounen TV Shigatsu wa Kimi no Uso"
24701,Mushishi Zoku Shou 2nd Season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10.0,8.88,75894,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural TV Mushishi Zoku Shou 2nd Season"
12355,Ookami Kodomo no Ame to Yuki,"Fantasy, Slice of Life",Movie,1.0,8.84,226193,"Fantasy, Slice of Life Movie Ookami Kodomo no Ame to Yuki"
1575,Code Geass: Hangyaku no Lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25.0,8.83,715151,"Action, Mecha, Military, School, Sci-Fi, Super Power TV Code Geass: Hangyaku no Lelouch"
263,Hajime no Ippo,"Comedy, Drama, Shounen, Sports",TV,75.0,8.83,157670,"Comedy, Drama, Shounen, Sports TV Hajime no Ippo"
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,4.0,8.83,129307,"Action, Drama, Historical, Martial Arts, Romance, Samurai OVA Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen"
1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26.0,8.82,486824,"Action, Adventure, Comedy, Drama, Sci-Fi, Space TV Cowboy Bebop"
30276,One Punch Man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12.0,8.82,552458,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural TV One Punch Man"
164,Mononoke Hime,"Action, Adventure, Fantasy",Movie,1.0,8.81,339556,"Action, Adventure, Fantasy Movie Mononoke Hime"
7311,Suzumiya Haruhi no Shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1.0,8.81,240297,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural Movie Suzumiya Haruhi no Shoushitsu"
17074,Monogatari Series: Second Season,"Comedy, Mystery, Romance, Supernatural, Vampire",TV,26.0,8.8,205959,"Comedy, Mystery, Romance, Supernatural, Vampire TV Monogatari Series: Second Season"
21939,Mushishi Zoku Shou,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10.0,8.8,101351,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural TV Mushishi Zoku Shou"
457,Mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,26.0,8.78,300030,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural TV Mushishi"
2001,Tengen Toppa Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27.0,8.78,562962,"Action, Adventure, Comedy, Mecha, Sci-Fi TV Tengen Toppa Gurren Lagann"
245,Great Teacher Onizuka,"Comedy, Drama, School, Shounen, Slice of Life",TV,43.0,8.77,268487,"Comedy, Drama, School, Shounen, Slice of Life TV Great Teacher Onizuka"
32983,Natsume Yuujinchou Go,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13.0,8.76,38865,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural TV Natsume Yuujinchou Go"
5258,Hajime no Ippo: New Challenger,"Comedy, Drama, Shounen, Sports",TV,26.0,8.75,88995,"Comedy, Drama, Shounen, Sports TV Hajime no Ippo: New Challenger"
28957,Mushishi Zoku Shou: Suzu no Shizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Movie,1.0,8.75,32266,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural Movie Mushishi Zoku Shou: Suzu no Shizuku"
11665,Natsume Yuujinchou Shi,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13.0,8.75,98431,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural TV Natsume Yuujinchou Shi"
431,Howl no Ugoku Shiro,"Adventure, Drama, Fantasy, Romance",Movie,1.0,8.74,333186,"Adventure, Drama, Fantasy, Romance Movie Howl no Ugoku Shiro"
11741,Fate/Zero 2nd Season,"Action, Fantasy, Supernatural, Thriller",TV,12.0,8.73,340973,"Action, Fantasy, Supernatural, Thriller TV Fate/Zero 2nd Season"
31757,Kizumonogatari II: Nekketsu-hen,"Action, Mystery, Supernatural, Vampire",Movie,1.0,8.73,34347,"Action, Mystery, Supernatural, Vampire Movie Kizumonogatari II: Nekketsu-hen"
19,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74.0,8.72,247562,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller TV Monster"
12365,Bakuman. 3rd Season,"Comedy, Drama, Romance, Shounen",TV,25.0,8.71,133620,"Comedy, Drama, Romance, Shounen TV Bakuman. 3rd Season"
1535,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,37.0,8.71,1013917,"Mystery, Police, Psychological, Supernatural, Thriller TV Death Note"
32366,Gintama°: Aizome Kaori-hen,"Comedy, Parody",OVA,2.0,8.69,16947,"Comedy, Parody OVA Gintama°: Aizome Kaori-hen"
30654,Ansatsu Kyoushitsu (TV) 2nd Season,"Action, Comedy, School, Shounen",TV,25.0,8.68,176475,"Action, Comedy, School, Shounen TV Ansatsu Kyoushitsu (TV) 2nd Season"
20583,Haikyuu!!,"Comedy, Drama, School, Shounen, Sports",TV,25.0,8.68,284498,"Comedy, Drama, School, Shounen, Sports TV Haikyuu!!"
19647,Hajime no Ippo: Rising,"Comedy, Drama, Shounen, Sports",TV,25.0,8.68,66756,"Comedy, Drama, Shounen, Sports TV Hajime no Ippo: Rising"
4282,Kara no Kyoukai 5: Mujun Rasen,"Action, Drama, Mystery, Romance, Supernatural, Thriller",Movie,1.0,8.68,111074,"Action, Drama, Mystery, Romance, Supernatural, Thriller Movie Kara no Kyoukai 5: Mujun Rasen"
10379,Natsume Yuujinchou San,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13.0,8.67,102322,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural TV Natsume Yuujinchou San"
22135,Ping Pong The Animation,"Psychological, Seinen, Sports",TV,11.0,8.67,97187,"Psychological, Seinen, Sports TV Ping Pong The Animation"
21329,Mushishi Special: Hihamukage,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1.0,8.66,49036,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural Special Mushishi Special: Hihamukage"
31043,Boku dake ga Inai Machi,"Mystery, Psychological, Seinen, Supernatural",TV,12.0,8.65,402381,"Mystery, Psychological, Seinen, Supernatural TV Boku dake ga Inai Machi"
7785,Yojouhan Shinwa Taikei,"Mystery, Psychological, Romance",TV,11.0,8.65,122531,"Mystery, Psychological, Romance TV Yojouhan Shinwa Taikei"
3297,Aria The Origination,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,13.0,8.64,56162,"Fantasy, Sci-Fi, Shounen, Slice of Life TV Aria The Origination"
30709,Kamisama Hajimemashita: Kako-hen,"Comedy, Demons, Fantasy, Shoujo, Supernatural",OVA,4.0,8.64,33422,"Comedy, Demons, Fantasy, Shoujo, Supernatural OVA Kamisama Hajimemashita: Kako-hen"
6114,Rainbow: Nisha Rokubou no Shichinin,"Drama, Historical, Seinen, Thriller",TV,26.0,8.64,139474,"Drama, Historical, Seinen, Thriller TV Rainbow: Nisha Rokubou no Shichinin"
31240,Re:Zero kara Hajimeru Isekai Seikatsu,"Drama, Fantasy, Psychological, Thriller",TV,25.0,8.64,355839,"Drama, Fantasy, Psychological, Thriller TV Re:Zero kara Hajimeru Isekai Seikatsu"
4565,Tengen Toppa Gurren Lagann Movie: Lagann-hen,"Action, Mecha, Sci-Fi, Space, Super Power",Movie,1.0,8.64,82253,"Action, Mecha, Sci-Fi, Space, Super Power Movie Tengen Toppa Gurren Lagann Movie: Lagann-hen"
5300,Zoku Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13.0,8.64,114173,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural TV Zoku Natsume Yuujinchou"
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Drama, Slice of Life, Supernatural",TV,11.0,8.62,463835,"Drama, Slice of Life, Supernatural TV Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai."
24415,Kuroko no Basket 3rd Season,"Comedy, School, Shounen, Sports",TV,25.0,8.62,184525,"Comedy, School, Shounen, Sports TV Kuroko no Basket 3rd Season"
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"Sci-Fi, Thriller",Movie,1.0,8.61,192424,"Sci-Fi, Thriller Movie Steins;Gate Movie: Fuka Ryouiki no Déjà vu"
10408,Hotarubi no Mori e,"Drama, Romance, Shoujo, Supernatural",Movie,1.0,8.61,197439,"Drama, Romance, Shoujo, Supernatural Movie Hotarubi no Mori e"
28171,Shokugeki no Souma,"Ecchi, School, Shounen",TV,24.0,8.61,348951,"Ecchi, School, Shounen TV Shokugeki no Souma"
32995,Yuri!!! on Ice,"Comedy, Sports",TV,12.0,8.61,103178,"Comedy, Sports TV Yuri!!! on Ice"
21899,Gintama: Yorinuki Gintama-san on Theater 2D,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,2.0,8.6,11104,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen Movie Gintama: Yorinuki Gintama-san on Theater 2D"
26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,"Action, Adventure, Drama, Shounen, Supernatural",TV,24.0,8.6,93657,"Action, Adventure, Drama, Shounen, Supernatural TV JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season"
7472,Gintama Movie: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1.0,8.59,51185,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen Movie Gintama Movie: Shinyaku Benizakura-hen"
777,Hellsing Ultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,10.0,8.59,297454,"Action, Horror, Military, Seinen, Supernatural, Vampire OVA Hellsing Ultimate"
22535,Kiseijuu: Sei no Kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24.0,8.59,425457,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen TV Kiseijuu: Sei no Kakuritsu"
28735,Shouwa Genroku Rakugo Shinjuu,"Drama, Historical, Josei",TV,13.0,8.59,71295,"Drama, Historical, Josei TV Shouwa Genroku Rakugo Shinjuu"
12431,Uchuu Kyoudai,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99.0,8.59,72958,"Comedy, Sci-Fi, Seinen, Slice of Life, Space TV Uchuu Kyoudai"
28805,Bakemono no Ko,"Adventure, Supernatural",Movie,1.0,8.58,80825,"Adventure, Supernatural Movie Bakemono no Ko"
578,Hotaru no Haka,"Drama, Historical",Movie,1.0,8.58,174878,"Drama, Historical Movie Hotaru no Haka"
16894,Kuroko no Basket 2nd Season,"Comedy, School, Shounen, Sports",TV,25.0,8.58,243325,"Comedy, School, Shounen, Sports TV Kuroko no Basket 2nd Season"
5028,Major S5,"Comedy, Drama, Romance, Sports",TV,25.0,8.58,28653,"Comedy, Drama, Romance, Sports TV Major S5"
801,Ghost in the Shell: Stand Alone Complex 2nd GIG,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,26.0,8.57,113993,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen TV Ghost in the Shell: Stand Alone Complex 2nd GIG"
31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,39.0,8.57,74074,"Action, Adventure, Comedy, Drama, Shounen, Supernatural TV JoJo no Kimyou na Bouken: Diamond wa Kudakenai"
5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),"Action, Mystery, Romance, Supernatural, Thriller",Movie,1.0,8.57,95658,"Action, Mystery, Romance, Supernatural, Thriller Movie Kara no Kyoukai 7: Satsujin Kousatsu (Kou)"
17389,Kingdom 2nd Season,"Action, Historical, Military, Seinen",TV,39.0,8.57,31234,"Action, Historical, Military, Seinen TV Kingdom 2nd Season"
170,Slam Dunk,"Comedy, Drama, School, Shounen, Sports",TV,101.0,8.56,82570,"Comedy, Drama, School, Shounen, Sports TV Slam Dunk"
10162,Usagi Drop,"Josei, Slice of Life",TV,11.0,8.56,194855,"Josei, Slice of Life TV Usagi Drop"
18617,Girls und Panzer der Film,"Military, School",Movie,1.0,8.55,25641,"Military, School Movie Girls und Panzer der Film"
32182,Mob Psycho 100,"Action, Comedy, Slice of Life, Supernatural",TV,12.0,8.55,193716,"Action, Comedy, Slice of Life, Supernatural TV Mob Psycho 100"
877,Nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,47.0,8.55,197256,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life TV Nana"
2251,Baccano!,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,13.0,8.54,363215,"Action, Comedy, Historical, Mystery, Seinen, Supernatural TV Baccano!"
24687,Mushishi Zoku Shou: Odoro no Michi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1.0,8.54,34011,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural Special Mushishi Zoku Shou: Odoro no Michi"
16498,Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,25.0,8.54,896229,"Action, Drama, Fantasy, Shounen, Super Power TV Shingeki no Kyojin"
10030,Bakuman. 2nd Season,"Comedy, Drama, Romance, Shounen",TV,25.0,8.53,151561,"Comedy, Drama, Romance, Shounen TV Bakuman. 2nd Season"
5941,Cross Game,"Comedy, Drama, Romance, School, Sports",TV,50.0,8.53,53108,"Comedy, Drama, Romance, School, Sports TV Cross Game"
30346,Doukyuusei (Movie),"Romance, School, Shounen Ai, Slice of Life",Movie,1.0,8.53,28864,"Romance, School, Shounen Ai, Slice of Life Movie Doukyuusei (Movie)"
3784,Evangelion: 2.0 You Can (Not) Advance,"Action, Mecha, Sci-Fi",Movie,1.0,8.53,182224,"Action, Mecha, Sci-Fi Movie Evangelion: 2.0 You Can (Not) Advance"
13125,Shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25.0,8.53,288376,"Drama, Horror, Mystery, Sci-Fi, Supernatural TV Shinsekai yori"
12029,Uchuu Senkan Yamato 2199,"Action, Drama, Military, Sci-Fi, Space",OVA,26.0,8.53,44223,"Action, Drama, Military, Sci-Fi, Space OVA Uchuu Senkan Yamato 2199"
14397,Chihayafuru 2,"Drama, Game, Josei, Slice of Life, Sports",TV,25.0,8.52,86074,"Drama, Game, Josei, Slice of Life, Sports TV Chihayafuru 2"
10087,Fate/Zero,"Action, Fantasy, Supernatural",TV,13.0,8.51,453630,"Action, Fantasy, Supernatural TV Fate/Zero"
14719,JoJo no Kimyou na Bouken (TV),"Action, Adventure, Shounen, Supernatural, Vampire",TV,26.0,8.51,190197,"Action, Adventure, Shounen, Supernatural, Vampire TV JoJo no Kimyou na Bouken (TV)"
9756,Mahou Shoujo Madoka★Magica,"Drama, Magic, Psychological, Thriller",TV,12.0,8.51,462974,"Drama, Magic, Psychological, Thriller TV Mahou Shoujo Madoka★Magica"
10165,Nichijou,"Comedy, School, Slice of Life",TV,26.0,8.52,254436,"Comedy, School, Slice of Life TV Nichijou"
13601,Psycho-Pass,"Action, Police, Psychological, Sci-Fi",TV,22.0,8.5,509109,"Action, Police, Psychological, Sci-Fi TV Psycho-Pass"
22789,Barakamon,"Comedy, Slice of Life",TV,12.0,8.5,225927,"Comedy, Slice of Life TV Barakamon"
30230,Diamond no Ace: Second Season,"Comedy, School, Shounen, Sports",TV,51.0,8.5,38531,"Comedy, School, Shounen, Sports TV Diamond no Ace: Second Season"
18115,Magi: The Kingdom of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25.0,8.5,245026,"Action, Adventure, Fantasy, Magic, Shounen TV Magi: The Kingdom of Magic"
11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1.0,8.5,135735,"Drama, Magic, Psychological, Thriller Movie Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari"
11917,Major: World Series,"Comedy, Drama, Sports",OVA,2.0,8.5,13405,"Comedy, Drama, Sports OVA Major: World Series"
205,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26.0,8.5,390076,"Action, Adventure, Comedy, Historical, Samurai, Shounen TV Samurai Champloo"
32282,Shokugeki no Souma: Ni no Sara,"Ecchi, School, Shounen",TV,13.0,8.5,185015,"Ecchi, School, Shounen TV Shokugeki no Souma: Ni no Sara"
6594,Katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",TV,12.0,8.49,207241,"Action, Adventure, Historical, Martial Arts, Romance TV Katanagatari"
11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1.0,8.49,85361,"Drama, Magic, Psychological, Thriller Movie Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari"
7655,Major S6,"Comedy, Drama, Sports",TV,25.0,8.49,24788,"Comedy, Drama, Sports TV Major S6"
2246,Mononoke,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",TV,12.0,8.49,88850,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural TV Mononoke"
25835,Shirobako,"Comedy, Drama",TV,24.0,8.49,146895,"Comedy, Drama TV Shirobako"
2921,Ashita no Joe 2,"Drama, Sports",TV,47.0,8.48,6259,"Drama, Sports TV Ashita no Joe 2"
136,Hunter x Hunter,"Action, Adventure, Shounen, Super Power",TV,62.0,8.48,166255,"Action, Adventure, Shounen, Super Power TV Hunter x Hunter"
30503,Noragami Aragoto,"Action, Adventure, Shounen, Supernatural",TV,13.0,8.48,299434,"Action, Adventure, Shounen, Supernatural TV Noragami Aragoto"
12531,Sakamichi no Apollon,"Drama, Josei, Music, Romance, School",TV,12.0,8.48,146592,"Drama, Josei, Music, Romance, School TV Sakamichi no Apollon"
523,Tonari no Totoro,"Adventure, Comedy, Supernatural",Movie,1.0,8.48,271484,"Adventure, Comedy, Supernatural Movie Tonari no Totoro"
467,Ghost in the Shell: Stand Alone Complex,"Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,26.0,8.47,194491,"Action, Mecha, Military, Police, Sci-Fi, Seinen TV Ghost in the Shell: Stand Alone Complex"
572,Kaze no Tani no Nausicaä,"Adventure, Fantasy",Movie,1.0,8.47,143273,"Adventure, Fantasy Movie Kaze no Tani no Nausicaä"
19815,No Game No Life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,12.0,8.47,602291,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural TV No Game No Life"
2559,Romeo no Aoi Sora,"Adventure, Drama, Historical, Slice of Life",TV,33.0,8.47,15074,"Adventure, Drama, Historical, Slice of Life TV Romeo no Aoi Sora"
392,Yuu☆Yuu☆Hakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,112.0,8.47,195017,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen TV Yuu☆Yuu☆Hakusho"
486,Kino no Tabi: The Beautiful World,"Action, Adventure, Slice of Life",TV,13.0,8.46,102822,"Action, Adventure, Slice of Life TV Kino no Tabi: The Beautiful World"
11771,Kuroko no Basket,"Comedy, School, Shounen, Sports",TV,25.0,8.46,338315,"Comedy, School, Shounen, Sports TV Kuroko no Basket"
1698,Nodame Cantabile,"Comedy, Drama, Josei, Music, Romance, Slice of Life",TV,23.0,8.46,157025,"Comedy, Drama, Josei, Music, Romance, Slice of Life TV Nodame Cantabile"
5341,Ookami to Koushinryou II,"Adventure, Fantasy, Historical, Romance",TV,12.0,8.46,210491,"Adventure, Fantasy, Historical, Romance TV Ookami to Koushinryou II"
25781,Shingeki no Kyojin: Kuinaki Sentaku,"Action, Fantasy, Shoujo, Supernatural",OVA,2.0,8.45,92543,"Action, Fantasy, Shoujo, Supernatural OVA Shingeki no Kyojin: Kuinaki Sentaku"
10863,Steins;Gate: Oukoubakko no Poriomania,"Sci-Fi, Thriller",Special,1.0,8.46,159548,"Sci-Fi, Thriller Special Steins;Gate: Oukoubakko no Poriomania"
28701,Fate/stay night: Unlimited Blade Works 2nd Season,"Action, Fantasy, Magic, Shounen, Supernatural",TV,13.0,8.45,205987,"Action, Fantasy, Magic, Shounen, Supernatural TV Fate/stay night: Unlimited Blade Works 2nd Season"
5420,Kemono no Souja Erin,"Drama, Fantasy",TV,50.0,8.45,36751,"Drama, Fantasy TV Kemono no Souja Erin"
9260,Kizumonogatari I: Tekketsu-hen,"Mystery, Supernatural, Vampire",Movie,1.0,8.45,99579,"Mystery, Supernatural, Vampire Movie Kizumonogatari I: Tekketsu-hen"
32,Neon Genesis Evangelion: The End of Evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,1.0,8.45,215630,"Dementia, Drama, Mecha, Psychological, Sci-Fi Movie Neon Genesis Evangelion: The End of Evangelion"
4224,Toradora!,"Comedy, Romance, School, Slice of Life",TV,25.0,8.45,633817,"Comedy, Romance, School, Slice of Life TV Toradora!"
2236,Toki wo Kakeru Shoujo,"Adventure, Drama, Romance, Sci-Fi",Movie,1.0,8.44,289206,"Adventure, Drama, Romance, Sci-Fi Movie Toki wo Kakeru Shoujo"
2685,Tsubasa: Tokyo Revelations,"Action, Adventure, Drama, Fantasy, Romance, Shounen",OVA,3.0,8.44,57963,"Action, Adventure, Drama, Fantasy, Romance, Shounen OVA Tsubasa: Tokyo Revelations"
31181,Owarimonogatari,"Comedy, Mystery, Supernatural",TV,12.0,8.43,107855,"Comedy, Mystery, Supernatural TV Owarimonogatari"
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,94.0,8.43,218928,"Action, Adventure, Comedy, Historical, Romance, Samurai TV Rurouni Kenshin: Meiji Kenkaku Romantan"
2418,Stranger: Mukou Hadan,"Action, Adventure, Historical, Samurai",Movie,1.0,8.43,125503,"Action, Adventure, Historical, Samurai Movie Stranger: Mukou Hadan"
1365,Detective Conan Movie 06: The Phantom of Baker Street,"Adventure, Mystery, Police, Shounen",Movie,1.0,8.42,28462,"Adventure, Mystery, Police, Shounen Movie Detective Conan Movie 06: The Phantom of Baker Street"
22297,Fate/stay night: Unlimited Blade Works,"Action, Fantasy, Magic, Shounen, Supernatural",TV,12.0,8.42,267484,"Action, Fantasy, Magic, Shounen, Supernatural TV Fate/stay night: Unlimited Blade Works"
627,Major S1,"Comedy, Drama, Shounen, Sports",TV,26.0,8.42,41061,"Comedy, Drama, Shounen, Sports TV Major S1"
10937,Mobile Suit Gundam: The Origin,"Action, Mecha, Military, Sci-Fi, Shounen, Space",OVA,6.0,8.42,15420,"Action, Mecha, Military, Sci-Fi, Shounen, Space OVA Mobile Suit Gundam: The Origin"
23755,Nanatsu no Taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,24.0,8.42,331627,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural TV Nanatsu no Taizai"
4081,Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13.0,8.42,210736,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural TV Natsume Yuujinchou"
4155,One Piece Film: Strong World,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1.0,8.42,85020,"Action, Adventure, Comedy, Drama, Fantasy, Shounen Movie One Piece Film: Strong World"
1889,Higurashi no Naku Koro ni Kai,"Mystery, Psychological, Supernatural, Thriller",TV,24.0,8.41,218101,"Mystery, Psychological, Supernatural, Thriller TV Higurashi no Naku Koro ni Kai"
137,Hunter x Hunter OVA,"Action, Adventure, Shounen, Super Power",OVA,8.0,8.41,53168,"Action, Adventure, Shounen, Super Power OVA Hunter x Hunter OVA"
139,Hunter x Hunter: Greed Island Final,"Action, Adventure, Shounen, Super Power",OVA,14.0,8.41,55787,"Action, Adventure, Shounen, Super Power OVA Hunter x Hunter: Greed Island Final"
